     Data            Open                 High                 Low               Close*            Adj Close**            Volume       
Nov 27, 2020        3,211.26            3,216.19            3,190.05            3,195.34            3,195.34            2,392,900           
Nov 25, 2020        3,141.87            3,198.00            3,140.26            3,185.07            3,185.07            3,790,400           
Nov 24, 2020        3,100.50            3,134.25            3,086.26            3,118.06            3,118.06            3,602,100           
Nov 23, 2020        3,116.70            3,139.75            3,065.46            3,098.39            3,098.39            4,708,900           
Nov 20, 2020        3,117.02            3,132.89            3,098.05            3,099.40            3,099.40            3,374,400           
Nov 19, 2020        3,105.31            3,125.00            3,080.92            3,117.02            3,117.02            3,010,300           
Nov 18, 2020        3,134.00            3,140.00            3,105.10            3,105.46            3,105.46            2,916,800           
Nov 17, 2020        3,183.54            3,189.25            3,135.26            3,135.66            3,135.66            3,444,700           
Nov 16, 2020        3,093.20            3,142.70            3,072.69            3,131.06            3,131.06            3,808,700           
Nov 13, 2020        3,122.00            3,141.72            3,085.39            3,128.81            3,128.81            3,756,200           
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
